et_name	n1_type	n2_type	bidir	et_desc	sc_desc	sc_best	sc_worst	category	supercollection	pretty_name
hn_HS_CX	Gene	Gene	1	Co-expression among human genes	log likelihood value	10	0	GG	Coexpression	HumanNet Co-Expression of Human Genes
hn_CE_CX	Gene	Gene	1	Co-expression among worm genes	log likelihood value	10	0	GG	Coexpression	HumanNet Co-Expression Of Worm Genes
hn_SC_CX	Gene	Gene	1	Co-expression among yeast genes	log likelihood value	10	0	GG	Coexpression	HumanNet Co-Expression of Yeast Genes
STRING_coexpression	Gene	Gene	1	Two genes that are co-expressed in the same or in other species (transferred by homology).	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Coexpression	STRING Co-expression
blastp_homology	Gene	Gene	1	protein sequence similarity as measured by basic local alignment search tool 	negative log 10 of E-value, expected number of local alignments with a given score that would be found in random sequences of the same length as the query and database	100	2	GG	Conservation/Proximity	Blastp Protein Sequence Similarity
hn_HS_PG	Gene	Gene	1	Co-inheritance of bacterial and archaeal orthologs of human genes	log likelihood value	10	0	GG	Conservation/Proximity	HumanNet Co-Inheritance Of Human Orthologs
hn_HS_DC	Gene	Gene	1	Co-occurrence of domains among human proteins	log likelihood value	10	0	GG	Conservation/Proximity	HumanNet Co-Occurrence Of Protein Domains
hn_HS_GN	Gene	Gene	1	Gene neighbourhoods of bacterial and archaeal orthologs of human genes	log likelihood value	10	0	GG	Conservation/Proximity	HumanNet Gene Neighbourhoods 
STRING_cooccurrence	Gene	Gene	1	Presence or absence of linked proteins across species	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Conservation/Proximity	STRING Conservation
STRING_fusion	Gene	Gene	1	Individual gene fusion events per species	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Conservation/Proximity	STRING Gene Fusion Event
STRING_neighborhood	Gene	Gene	1	Runs of genes that occur repeatedly in close neighborhood in (prokaryotic) genomes	STRING score computed by combining the probabilities from the different evidence channels, correcting for the probability of randomly observing an interaction	999	1	GG	Conservation/Proximity	STRING Proximal Neighborhood
hn_DM_PI	Gene	Gene	1	Fly protein physical interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Fly Protein Physical Interactions
hn_HS_MS	Gene	Gene	1	human protein complexes from affinity purification/mass spectrometry	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Human Protein Complexes
hn_HS_LC	Gene	Gene	1	Literature curated human protein physical interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Human Protein Physical Interactions
hn_HS_YH	Gene	Gene	1	High-throughput yeast 2-hybrid assays among human genes	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Human Yeast 2-Hybrid Assays
hn_CE_GT	Gene	Gene	1	Worm genetic interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Worm Genetic Interactions
hn_CE_LC	Gene	Gene	1	Literature curated worm protein physical interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Worm Protein Physical Interactions
hn_CE_YH	Gene	Gene	1	Experimental_Interaction	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Worm Yeast 2-Hybrid Assays
hn_SC_YH	Gene	Gene	1	High-throughput yeast 2-hybrid assays among yeast genes	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Yeast 2-Hybrid Assays of Yeast Genes
hn_SC_GT	Gene	Gene	1	Yeast genetic interactions	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Yeast Genetic Interactions
hn_SC_MS	Gene	Gene	1	Yeast protein complexes from affinity purification/mass spectrometry	log likelihood value	10	0	GG	Experimental_Interaction	HumanNet Yeast Protein Complexes
